condition	seed	task_index	task	export_path	source	initial_unique	generated_unique_novel	seed_duplicate_rows	selected_top_n	valid_selected
full-spectrum	2	13	Perindopril_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_13_Perindopril_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Perindopril_MPO/generator_top_molecules.csv	generator-top	256	42	158	42	42
full-spectrum	2	14	Amlodipine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Amlodipine_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	15	Sitagliptin_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_151408/runs/spectralmol/seed_2/case_GuacaMol_20260824_151410/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_22/2026_08_24_evolution_ga_Sitagliptin_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	16	Zaleplon_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_151357/runs/spectralmol/seed_2/case_GuacaMol_20260824_151400/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_12/2026_08_24_evolution_ga_Zaleplon_MPO/generator_top_molecules.csv	generator-top	256	161	39	100	100
full-spectrum	2	17	Valsartan_smarts	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_17_Valsartan_smarts/compare_GuacaMol_20260824_151358/runs/spectralmol/seed_2/case_GuacaMol_20260824_151401/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_12/2026_08_24_evolution_ga_Valsartan_smarts/generator_top_molecules.csv	generator-top	256	191	9	100	100
full-spectrum	2	18	Deco_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_18_Deco_hop/compare_GuacaMol_20260824_151358/runs/spectralmol/seed_2/case_GuacaMol_20260824_151401/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_12/2026_08_24_evolution_ga_Deco_hop/generator_top_molecules.csv	generator-top	256	43	157	43	43
full-spectrum	2	19	Scaffold_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_19_Scaffold_hop/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_55/2026_08_24_evolution_ga_Scaffold_hop/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	1	Troglitazone_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_56/2026_08_24_evolution_ga_Troglitazone_rediscovery/generator_top_molecules.csv	generator-top	256	199	1	100	100
full-spectrum	2	2	Thiothixene_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_56/2026_08_24_evolution_ga_Thiothixene_rediscovery/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	3	Aripiprazole_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_56/2026_08_24_evolution_ga_Aripiprazole_similarity/generator_top_molecules.csv	generator-top	256	200	0	100	100
